amfi_code,scheme_name,sortino_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.14919150977739623
120843,Kotak Flexicap Fund - Regular - Growth,0.14822144039856544
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.1344975772270427
119551,SBI Bluechip Fund - Regular Plan - Growth,0.13253649389353042
120505,ICICI Pru Midcap Fund - Regular - Growth,0.12662031533694554
149323,DSP Midcap Fund - Regular - Growth,0.11773186671756995
118632,Nippon India Large Cap Fund - Regular - Growth,0.11590022968374655
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.11489012526331384
101206,ABSL Frontline Equity Fund - Regular - Growth,0.11248175070151734
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.11244714346360551
119094,Axis Midcap Fund - Regular - Growth,0.10698848934164334
119598,SBI Small Cap Fund - Regular Plan - Growth,0.10464857709778584
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.101948965452217
149324,DSP Small Cap Fund - Regular - Growth,0.10123933693741924
119552,SBI Bluechip Fund - Direct Plan - Growth,0.10104130969532156
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.08933785413070455
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.08372057632005389
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.0825953050863888
118633,Nippon India Large Cap Fund - Direct - Growth,0.07182233603730992
118635,Nippon India ETF Nifty 50 BeES,0.07122125762767727
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.0685590551803906
102887,UTI Flexi Cap Fund - Regular - Growth,0.06797161136255846
120841,Kotak Bluechip Fund - Regular - Growth,0.0538486972382756
120507,ICICI Pru Liquid Fund - Regular - Growth,0.05213226835846334
149322,DSP Top 100 Equity Fund - Regular - Growth,0.047510236035717406
118634,Nippon India Small Cap Fund - Regular - Growth,0.04687532203051594
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.031809668105586206
101207,ABSL Small Cap Fund - Regular - Growth,0.017299088858059527
119093,Axis Bluechip Fund - Direct - Growth,0.013828975564944395
120842,Kotak Emerging Equity Fund - Regular - Growth,0.007780970617430869
119092,Axis Bluechip Fund - Regular - Growth,0.0032698945607575864
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.0059264909365011635
119095,Axis Small Cap Fund - Regular - Growth,-0.00800338100803988
120844,Kotak Liquid Fund - Regular - Growth,-0.009311451401733999
102886,UTI Mid Cap Fund - Regular - Growth,-0.021731266708315624
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.0219343173489246
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.023088748663814072
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.03773450965303152
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.05766295357848322
101208,ABSL Liquid Fund - Regular - Growth,-0.08344090393051914
