amfi_code,HHI,Concentration,scheme_name,category
119092,0.20644766999999997,Moderately Concentrated,Axis Bluechip Fund - Regular - Growth,Equity
101207,0.20070043,Moderately Concentrated,ABSL Small Cap Fund - Regular - Growth,Equity
119599,0.17475095999999998,Moderately Concentrated,SBI Small Cap Fund - Direct Plan - Growth,Equity
102885,0.17470902,Moderately Concentrated,UTI Nifty 50 Index Fund - Regular - Growth,Equity
118632,0.1682982,Moderately Concentrated,Nippon India Large Cap Fund - Regular - Growth,Equity
148568,0.16792973,Moderately Concentrated,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity
120505,0.15757036000000002,Moderately Concentrated,ICICI Pru Midcap Fund - Regular - Growth,Equity
120506,0.1537936,Moderately Concentrated,ICICI Pru Value Discovery Fund - Regular - Growth,Equity
125498,0.15241397999999998,Moderately Concentrated,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity
120841,0.14968035000000002,Well Diversified,Kotak Bluechip Fund - Regular - Growth,Equity
148569,0.14939642,Well Diversified,Mirae Asset Tax Saver Fund - Regular - Growth,Equity
100033,0.14759226,Well Diversified,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity
149323,0.14162096,Well Diversified,DSP Midcap Fund - Regular - Growth,Equity
120503,0.14087026,Well Diversified,ICICI Pru Bluechip Fund - Regular - Growth,Equity
100016,0.13953386,Well Diversified,HDFC Top 100 Fund - Regular Plan - Growth,Equity
148567,0.13858417,Well Diversified,Mirae Asset Large Cap Fund - Regular - Growth,Equity
125497,0.13658553999999998,Well Diversified,HDFC Top 100 Fund - Direct Plan - Growth,Equity
119094,0.13640591,Well Diversified,Axis Midcap Fund - Regular - Growth,Equity
118635,0.13594414999999999,Well Diversified,Nippon India ETF Nifty 50 BeES,Equity
149322,0.13439797,Well Diversified,DSP Top 100 Equity Fund - Regular - Growth,Equity
119093,0.13089424,Well Diversified,Axis Bluechip Fund - Direct - Growth,Equity
102887,0.12980495,Well Diversified,UTI Flexi Cap Fund - Regular - Growth,Equity
101206,0.12933173,Well Diversified,ABSL Frontline Equity Fund - Regular - Growth,Equity
120843,0.12868306000000002,Well Diversified,Kotak Flexicap Fund - Regular - Growth,Equity
120842,0.12743880999999999,Well Diversified,Kotak Emerging Equity Fund - Regular - Growth,Equity
118633,0.12146086,Well Diversified,Nippon India Large Cap Fund - Direct - Growth,Equity
119551,0.11871551999999999,Well Diversified,SBI Bluechip Fund - Regular Plan - Growth,Equity
149324,0.11867710000000001,Well Diversified,DSP Small Cap Fund - Regular - Growth,Equity
102886,0.11469284,Well Diversified,UTI Mid Cap Fund - Regular - Growth,Equity
119095,0.10960535000000002,Well Diversified,Axis Small Cap Fund - Regular - Growth,Equity
120504,0.10867415000000001,Well Diversified,ICICI Pru Bluechip Fund - Direct - Growth,Equity
118634,0.10835772,Well Diversified,Nippon India Small Cap Fund - Regular - Growth,Equity
119552,0.10801068999999999,Well Diversified,SBI Bluechip Fund - Direct Plan - Growth,Equity
119598,0.10734895,Well Diversified,SBI Small Cap Fund - Regular Plan - Growth,Equity
